Ticker,ROI
A,-0.0010234644690589939
AA,-0.005065819568413164
AAL,-0.05123902162815514
AAME,-0.17606387484137606
AAOI,-0.13519158895989553
AAON,0.08002690921635089
AAP,0.03825425993254717
AAPL,0.03655617012954882
AAT,0.014865141457302897
AAWW,-0.045899842387403335
ABBV,0.029715064258658067
ABC,0.008337766441697049
ABCB,-0.033104861834874946
ABEO,0.29971066735912777
ABG,0.03051900848929698
ABIO,0.27199852697172283
ABM,0.04301992018300078
ABMD,-0.22385167550490911
ABR,-0.023919960170108067
ABT,0.023155822683471706
ABTX,0.015184145057128786
AC,0.0072558924849031895
ACAD,-0.6505405691313336
ACBI,0.005943753510684519
ACC,-0.05388902078412348
ACCO,-0.04157658287212198
ACER,0.26308211514647095
ACGL,-0.06702045356732216
ACHC,-0.09099335739223163
ACHV,0.5398320868459335
ACIW,-0.07706307727603268
ACLS,0.11002988179079651
ACM,0.030043705744568966
ACMR,-0.24936891036649994
ACN,0.10631979084201025
ACNB,-0.048877077809494754
ACOR,-0.6845426274871249
ACRE,-0.15336229781209496
ACRS,0.2420785728609448
ACRX,0.13409657212483214
ACTG,-0.2415480966570342
ACU,-0.23237530455166738
ACY,1.0139517885378615
ADBE,0.05718939476100225
ADC,0.012062260354655218
ADES,0.17063457682195904
ADI,0.059252342721075026
ADM,0.03577749240439807
ADMA,-0.24004822400092599
ADMP,0.18151352650107647
ADMS,0.02590892295537784
ADNT,-0.08690984529131056
ADP,-0.020018546508716425
ADS,-0.15134109308307875
ADSK,0.08757311586937692
ADT,-0.003932223294071404
ADTN,0.014442839519814296
ADUS,-0.03938091109135579
ADVM,0.32601001738149943
ADXS,0.18725349344639036
AE,-0.0767612585853403
AEE,-0.05001714151806358
AEHR,1.386954415481267
AEIS,-0.011292102062472087
AEL,-0.005372767042095007
AEMD,-0.28684965201685625
AEO,-0.2848963477273591
AEP,-0.07823431273417382
AERI,0.2818417537870827
AES,-0.011124688607439336
AEY,-0.12241443430373862
AFG,-0.03850089942370717
AFI,0.059719814752769836
AFL,-0.09878154339388145
AGCO,0.04837348903638787
AGEN,-0.3865705861490686
AGFS,-0.017953035356016084
AGIO,0.14429274529843594
AGLE,0.048662494204664404
AGM,0.15780227892024504
AGNC,-0.1230521152128988
AGO,0.0009916578102306024
AGR,-0.02547905878385056
AGRX,0.13340636027850172
AGS,0.2453722790844635
AGTC,0.22778678604072203
AGX,-0.08611866092666394
AGYS,-0.10304958183244195
AHH,0.036004006025052285
AHT,0.05118993099825589
AIG,-0.09506138644027169
AIMC,-0.13047116434997696
AIN,-0.13359586584025965
AINC,0.26501514498294076
AIR,0.0038621851148239413
AIRG,-0.2749996090317902
AIRI,-0.05762979561909823
AIRT,-0.2374787118513845
AIT,-0.0019746202497106925
AIV,-0.13065008753063928
AIZ,0.020049774168982334
AJG,0.12606371573580585
AJRD,-0.06716979130335729
AJX,-0.07560535439517896
AKAM,0.02277782860125177
AKBA,0.22172327043717552
AKR,-0.006470998968139768
AKTS,-0.2884260536614862
AL,-0.10300037340005844
ALB,0.0186405375325142
ALBO,-0.10655906532314774
ALCO,-0.07735195717835004
ALDX,-0.01765170074395843
ALE,-0.03184904114661351
ALEX,-0.05825996367755283
ALG,0.011140843309170301
ALGN,-0.07777004596553919
ALGT,-0.10850468750354768
ALJJ,-0.2491117954372812
ALK,-0.11442441812294532
ALKS,-0.06730202310468754
ALL,-0.07518408922912087
ALLE,-0.024074396259927144
ALLY,-0.129751836067716
ALNA,0.006608753913874245
ALNY,0.021262739217221917
ALOT,0.11967368533222193
ALPN,0.12010206008512155
ALRM,-0.16547896837002415
ALSN,0.07444737568745831
ALT,-0.23709796030236244
ALTR,0.08644342946315076
ALV,-0.10399006924201278
ALX,0.05877542672162447
AM,0.026989969398262193
AMAT,-0.06209335691605458
AMBC,-0.028571415246066684
AMC,-0.3296748238344377
AMCX,-0.06592707974941013
AMD,0.15928932855751052
AME,0.039668148280098924
AMED,-0.05850428526018785
AMG,-0.03997016881207004
AMGN,-0.00724834856036131
AMH,0.002774242338921801
AMKR,-0.08344027276148047
AMN,-0.0514578898000556
AMNB,0.04195103611211297
AMOT,0.03889034721908774
AMP,0.16850843081609732
AMPE,-0.36625603408153484
AMPH,0.03234945296627829
AMRC,0.20875793502061696
AMRK,0.4553049205154561
AMRS,-0.026932453089152306
AMS,-0.00879012599667304
AMSC,0.45136491588681704
AMSF,-0.010994967563700964
AMSWA,0.09099877510187637
AMT,-0.059871987207802096
AMTX,0.10486983591738766
AMWD,0.059328986943061796
AMZN,-0.016491910715492247
AN,0.23764880631041863
ANAB,0.10699786589935127
ANAT,0.07599579034049503
ANDE,-0.013800269541807342
ANET,0.05444256863919293
ANF,-0.0572414136096421
ANGI,0.3994083176159968
ANGO,0.05033883216944872
ANIK,-0.00318903068128621
ANIP,-0.07822562497397424
ANIX,-0.021783487876722834
ANSS,0.011857055802504115
ANTM,0.15426326368365315
AON,0.07475569423769951
AOS,-0.05763494469176567
AOSL,0.24707864961840326
AP,0.005386195575983337
APA,0.10800707321129911
APAM,0.0620331380389734
APD,0.11485297620384508
APDN,0.0018155581706622915
APEI,0.03452810374200295
APEN,-0.027847963709114035
APH,0.06725324441394928
APLE,-0.09618723468648703
APLS,-0.4467955901547026
APOG,-0.06531443319884124
APPF,-0.06979306724625427
APPN,0.2912829819270481
APPS,1.2414357853295206
APRN,0.27833970319142803
APT,0.16259050941171685
APTS,0.07586797899616929
APTV,0.15423849204481252
APVO,0.008403688063222886
AQB,-0.2873900431157698
